,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
11,T794jU-UXZU,Jonna Jinton,A journey into the Wild | The story behind the Antler jewelry,"In this video I will share the story and creative process of the Wild jewelry collection, and what inspired us to create these antler pieces.
► My Art & Jewelry Webshop: https://jonnajintonsweden.com

A beautiful reindeer antler found in the forest when my parents walked their dog, became the inspiration to these pieces of jewelry. It was almost a year long process before we got to the real result, and held the silver antler jewelry in our hands. We are so happy with how they turned out in the end. 
I hope this little story can bring you some inspiration.  Or just to get a little glimpse in how it can look like behind the scenes of creating jewelry, from idea to finished result.

Thank you SO much for watching ♥

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► MUSIC
The songs I use can be found here: http://share.epidemicsound.com/pR9G6​ (affiliate link)
Through the storm - Savvun
Spiral dynamics - Lama House
Midnight sun - Savvun","['jonna', 'jinton', 'jewelry', 'antler', 'wild', 'wild collection', 'reindeer', 'reindeers', 'sweden', 'scandinavia', 'silver jewelry', 'creative process', 'artist', 'jewerly designs', 'reindeer antler', 'antler jewelry']",2022-12-02T15:11:41Z,312301,26698,,1304,PT4M14S,hd,true
12,iH4WRJxCtQ4,Jonna Jinton,A life update,"A hello from my little corner of the world, and a little update on whats going on in my life right now and what have kept me so busy the whole autumn. 
I'm so happy to be back here again. Thank you for waiting for me! 
I hope you will like the video! Big hugs and lots of love!! ♥

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► Jonas video from our adventure: https://www.youtube.com/watch?v=xdZV0wPGfqE

► MUSIC
The songs I use can be found here: http://share.epidemicsound.com/pR9G6​ (affiliate link)
Glacial Love - Erasmus Talbot
As a gift - Francis Wells
Unbound Spirit - Duke Herrington
A cold wind - Savvun
Spiral dynamics - Lama House
The road less travelled - Christoffer Moe Ditlevsen
Emulsion - Gavin Luke
Knights Templar - Adriel Fair
Chasing clouds nine - Luchs
Taking me high taking me low - Johan Glössner
Somewhere in between - August Wilhelmsson
Childhood - Peter Sandberg
Time without end - Spectacles wallet and watch","['jonna', 'jinton', 'jonna jinton', 'johan jinton', 'life update', 'sweden', 'norway', 'scandinavia', 'lifestyle', 'rural life', 'nature', 'swedish countryside', 'countryside living', 'rural living', 'simple life', 'artist', 'photography', 'jewerly']",2022-11-27T15:39:25Z,1124299,66072,,5524,PT28M7S,hd,true
13,0aNBAFRisHY,Jonna Jinton,Jewelry from the North - a sneak peak on our new designs,"►  My Art & Jewelry Webshop: https://jonnajintonsweden.com
Now its only a few days left until we share our new jewelry designs with the world! 😃 And in this video you get to see a little sneak peak on some of the pieces 😍

We have some busy days ahead of us with a lot of work with the last preparations. And we are really excited and also very relieved to finally get to this point after a year of work ”behind the scenes”.

The new designs will be available on our webshop this Friday 11th of November 🔥❤️

Follow our Instagram for latest news and updates: @jonnajintonsweden  http://www.instagram.com/jonnajintonsweden",,2022-11-07T18:26:03Z,178537,15417,,407,PT1M1S,hd,false
14,UpmeswMK7cY,Jonna Jinton,The Spirit Song -  A Nordic Lullaby,"If the spirit of the mist could sing us a lullaby, how would it sound like?
I created this song with an intention to give you a little glimpse into that mystical realm of the mist, which I feel is like a bridge between our world and other dimensions. The mist has always been an inspiration in my work and art. It's just something there that excites me so deeply. 
When the mist is dancing over the forest lakes in the bright nights, I feel like I get to see and experience something that is almost not real in our physical world. It's almost pulling me into something else. Like it's calling on us, to be still and listen, and to connect to something deeper within us.
All the mist that you see in this video, is 100% real and filmed in the beautiful nature where I live.

I also wanted to give this song a touch of the ancient nordic folktunes, which has this incredible way of sounding sad and hopeful at the same time. In Swedish you call it ""vemod"". The closest I can describe it is as a melancholy feeling. And I have always felt very drawned to that. I like when the line between feelings is erased, so that you can feel it all at the same time. The sorrow, the joy, the light and the dark, the heaviness of being a human, the beauty of being alive. The physical world and the spirit world. 

I feel like I could go on forever and talk about this. But enough talking for now! :) 
I really hope you will enjoy the song and the music video. 
It's in Swedish, but I will write the lyrics to it down below. 

LOTS of love to you all! ♥

► Lyrics in Swedish + English translation (Text and music: Jonna Jinton)

Så lilla vän 
(Sweet friend)
Dimman för dig hem igen
(The mist will carry you home again)
Om du går vilse 
(If you get lost)

Natten är lång
(The night is long)
Tusen stjärnors urtidssång
(The ancient song of a thousand stars)
Dimmorna dansar
(The mist is dancing)

Sov lilla vän
(Sleep little friend)
Skogen vaktar, värmer dig
(The forest guards you, and keep you warm)
Om du är frusen
(If you are cold)

Norrskensljus
(Northern lights)
Dansar över skog och fjäll
(Dancing over the forest and mountains)
Brinner i natten
(Burning in the night)

Så lilla vän 
(Sweet friend)
Dimman för dig hem igen
(The mist will carry you home again)
Om du går vilse 
(If you get lost)

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/","['jonna jinton', 'music', 'song', 'Spirit song', 'lullaby', 'Wolf song', 'The wolf song', 'kulning', 'nordic lullaby', 'herdingcall', 'ancient', 'sweden', 'spirits', 'ghosts', 'mist', 'ancient lullaby', 'jinton', 'jonna', 'swedish', 'scandinavia', 'viking', 'viking music', 'viking song', 'chant', 'frozen', 'north', 'relaxing', 'sleep', 'sleep music', 'sleep song', 'nordic music', 'visa', 'visor', 'svensk visa', 'dimmornas visa']",2022-10-28T13:01:26Z,1324426,78922,,3941,PT5M54S,hd,true
15,cb4oxgDZl6I,Jonna Jinton,Swedish Forest life | In the Land of my Ancestors,"In this video I will share with you some moments from my everyday life in this little forest village in the North of Sweden, as the summer is changing into autumn. It's a very special time of the year and I hope that I can give you a good look into how this transition feels like when you live with the seasons as we do here. 

Wherever you are in the world, THANK YOU for watching this video and for spreading love in the comment section. I wish you a beautiful day! ♥
Lots of love to all of you!

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► MUSIC
The songs I use can be found here: http://share.epidemicsound.com/pR9G6​ (affiliate link)
Nysnö - Sandra Marteleur
Elan - Fabien Tell
When we were friends - Amaranth Cove
Gamla Götaälvbron - Par
Lunar Glow - Ookean
Twinkle - Megan Wofford
In the books - Raymond Grouse
Astral Roar - Lama House
A new chance - Fabien Tell
First Moon - Cerulean Skies
Desert Wasteland
As we dream - Aerian
Return Home - Moorlands songs
Time without end - Spectacles wallet and watch","['jonna jinton', 'jonna', 'jinton', 'sweden', 'scandinavia', 'forest', 'forest life', 'rural life', 'swedish', 'countryside', 'swedish countryside', 'nordic', 'nordic lifestyle', 'northern lights', 'nanook', 'lifestyle', 'simple living', 'nature', 'swedish nature']",2022-09-18T13:48:42Z,1311910,80299,,5373,PT24M11S,hd,true
16,6zWE9NUeIdI,Jonna Jinton,Living with the Nordic Vampires,"A little hello from me and my life with the vampires of the North, who's more active this year than ever before.
Summer is soon leaving us and this is a little glimpse of what I've been up to lately. 
I hope you all have a beautiful summer and that you will enjoy this video! 

LOTS of love! ♥

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► The beautiful instrument I played in the video is made by the Ukrainian artist Michael Walk and can be found here: https://www.etsy.com/se-en/shop/WalkSoundStore?ref=simple-shop-header-name&listing_id=888527763

► MUSIC
The songs I use can be found here: http://share.epidemicsound.com/pR9G6​ (affiliate link)
Vintergatan - Strom
Where the thistle grows - Bonnie Grace
Copper Horse - Kylie Dailey
Patchwork Heart - Wade Tam (musicbed)
For the weary - Bonnie Grace
Free form - Amaranth Cove
The road less traveled - Christoffer Moe Ditlevsen
What is lost - Dexter Britain (musicbed)
Find my boy and bring him home - Bonnie Grace
When we were friends - Amaranth Cove
Astral Roar - Lama House
I give ye my spirit - Bonnie Grace
Verses - Ever so blue
Time without end - Spectacles wallet and watch
MB01EWWQABKI4WM","['jonna', 'jinton', 'jonna jinton', 'Sweden', 'Norway', 'Scandinavia', 'Forest', 'Rural life', 'Rural lifestyle', 'Countryside', 'Vampires', 'Mosquitos', 'Forest life']",2022-08-19T13:41:52Z,2247514,111163,,8572,PT24M56S,hd,true
17,97Ecz8j5FLg,Jonna Jinton,A happy day in the forest - picking blueberries with my dog,"Just a beautiful day in the forest with my little bear. I try to go out on small adventures with him every day since he really loves that. And its a wonderful bonus to pick blueberries that I'll save for the long winter ahead of us. 

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/j...
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

MB01KTD5L3JK2NK",,2022-08-03T21:14:21Z,384766,45843,,1129,PT49S,hd,false
18,gIZyquWzGSc,Jonna Jinton,Receiving a Prize from the King of Sweden,"Hello loves ♥ 
Here comes a new video from the most magical month of the year, June! And this June was very special, as you will see more of in this video. 
I hope you will like the video! Sending you big hugs and lots of love ♥

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► The Anders Wall online price ceremony: https://www.youtube.com/watch?v=We5bVUUZRAg

► MUSIC
The songs I use can be found here: http://share.epidemicsound.com/pR9G6​ (affiliate link)
Meadow song in g for birds and piano - Eric Kinny (Musicbed)
Spirits of the Ancient - Lars Monsen
Astral roar - Lama house
The Bridal Veil - Bo Savik (https://www.youtube.com/watch?v=px-ayArr-q0)
Memories of Sardinia - Franz Gordon
When we were friends - Amaranth Cove
Stay Anyway - Claude Signet
Every chance - View Points
Visiting Habana - Tiki Tiki
Light in your hand - Sad moses (musicbed)
The road less travelled - Christoffer Moe Ditlevsen
Morning Mist - Staffan Carlen
My last song - The eastern plain
Time without end - Spectacles wallet and watch
MB01C874DDWOGHB
MB01KTD5L3JK2NK","['Jonna', 'Jonna Jinton', 'Sweden', 'Scandinavia', 'Rural', 'Rural life', 'Countryside', 'countryside of sweden', 'Nature', 'Simple life', 'Nordic', 'North', 'Forest', 'King', 'King of Sweden', 'Award', 'Anders Wall', 'Anders Wall stiftelse', 'stipendium', 'scholarship', 'Prize']",2022-07-14T14:11:03Z,786733,64947,,6215,PT25M54S,hd,true
19,IS1-pS2p1yM,Jonna Jinton,Days of magic and hard work in the Swedish countryside | Ep. 64,"Hello loves! 
Are comes a little hello from me and my life in the beautiful forest of northern Sweden. It's been another chaotic weeks here with way too much to do and some less good priorities. But I've got a lot of things done and look forward the early summer that awaits us. 

Hope you will enjoy the video! And thank you for all your comments and support!
 I hope you take care you yourself and each other ♥

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► MUSIC
The songs I use can be found here: http://share.epidemicsound.com/pR9G6​ (affiliate link)
Late nights in harmony - Trevor Kowalski
Mountain air - Cody Francis
Copper house - Kylie Dailey
The beginning - Gavin Luke
Solstice Meander - American legion
Flourish - Roary (Musicbed)
Freefrom - Rannar Sillard
Bookmarks - Ever so blue
Back to the wild - Martin Hall
Time without end - Spectacles wallet and watch

MB01ANMKFFNXEGW","['jonna jinton', 'Sweden', 'Scandinavia', 'Countryside', 'Swedish', 'forest', 'swedish countryside', 'village', 'rural living', 'simple life', 'nature', 'sweden nature', 'wild forests', 'northern', 'nordic', 'rural village', 'small village', 'forest village', 'nature video']",2022-06-10T15:03:34Z,771321,50705,,2842,PT19M17S,hd,true
20,YgIkCZOFMMA,Jonna Jinton,The Swedish National Anthem - Du gamla du fria,"Today it’s the Swedish national day and this is my version of the Swedish National Anthem that I made a couple of years ago. You can find the full version of the song here: https://www.youtube.com/watch?v=WQFlu4L_iAU

Every day I feel so grateful for living on this beautiful place on earth. For being born in a country that allow me to be free and make my own choices in life. A country with fresh air and clean water. With free education and free medical care. A country where I’ve grown up without the fear of war or the sound of falling boms. A country that has given me the space and freedom to do what I want and be who I want to be.
I never want to take all this for granted. I feel so lucky to be born in a country like this.
Thank you Sweden, for everything you given me 🇸🇪❤️🙏🏻

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

#sweden #sverige #sverigesnationaldag",,2022-06-06T21:18:10Z,248586,25168,,574,PT1M1S,hd,false
